id,start,end
1000302,2016-01-04 10:00:00,2019-07-25 10:00:00
1000303,2016-01-04 10:00:00,2020-12-31 10:00:00
1000304,2016-01-04 10:00:00,2020-10-29 10:00:00
1000305,2016-01-04 10:00:00,2020-12-31 10:00:00
1000306,2016-01-04 10:00:00,2020-12-31 10:00:00
1000307,2016-01-04 10:00:00,2020-12-31 10:00:00
1000308,2016-01-04 10:00:00,2020-12-31 10:00:00
1000309,2016-01-04 10:00:00,2020-06-02 10:00:00
1000310,2016-01-04 10:00:00,2020-10-29 10:00:00
1000311,2016-01-04 10:00:00,2020-12-31 10:00:00
1000314,2016-01-04 10:00:00,2020-12-31 10:00:00
1000315,2016-01-04 10:00:00,2020-12-24 10:00:00
1000316,2016-01-04 10:00:00,2020-12-31 10:00:00
1000318,2016-01-04 10:00:00,2020-12-31 10:00:00
1000319,2016-01-04 10:00:00,2020-12-31 10:00:00
1000320,2016-01-04 10:00:00,2020-12-31 10:00:00
1000321,2016-01-04 10:00:00,2020-10-23 10:00:00
1000322,2016-01-04 10:00:00,2019-07-25 10:00:00
1000323,2016-01-04 10:00:00,2020-12-31 10:00:00
1000324,2016-01-04 10:00:00,2020-12-31 10:00:00
1000325,2016-01-04 10:00:00,2020-12-31 10:00:00
1000326,2016-01-04 10:00:00,2020-12-31 10:00:00
1000328,2016-01-04 10:00:00,2020-12-31 10:00:00
1000329,2016-01-04 10:00:00,2020-12-31 10:00:00
1000330,2016-01-04 10:00:00,2020-12-31 10:00:00
1000331,2016-01-04 10:00:00,2020-12-31 10:00:00
1000332,2016-01-04 10:00:00,2020-04-28 10:00:00
1000333,2016-01-04 10:00:00,2020-12-31 10:00:00
1000334,2016-01-04 10:00:00,2020-12-31 10:00:00
1000335,2016-05-13 10:00:00,2020-12-31 10:00:00
1000336,2016-01-04 10:00:00,2020-12-31 10:00:00
1000337,2016-01-04 10:00:00,2020-12-31 10:00:00
1000338,2016-01-04 10:00:00,2020-12-31 10:00:00
1000339,2016-01-04 10:00:00,2020-12-31 10:00:00
1000340,2016-01-04 10:00:00,2020-12-31 10:00:00
1000341,2016-01-04 10:00:00,2020-12-31 10:00:00
1000342,2016-01-27 10:00:00,2020-04-28 10:00:00
1000344,2016-01-04 10:00:00,2020-09-22 10:00:00
1000345,2016-01-04 10:00:00,2020-12-31 10:00:00
